remision,codigo_proveedor,descripcion_ocr,cantidad,costo,existencia_lapiz
R:0123912,7502233370309,PAPEL SCRIBE FOTOBOND T/C PAQ C/500,100.00,69.98,0
R:0123912,7502233372549,PAPEL SCRIBE DUPLICADOR T/C PAQ C/500,100.00,92.85,0
R:0123950,7501428707456,MARCADOR DE BILLETES FALSOS CHECK-IT,48.00,21.37,0
R:0123950,7501523721067,REMISION EUROFORMAS 1/4 CARTA DUPLICADO,30.00,5.14,0
R:0123950,PACVBA,PAPEL CREPE COLIBRI VERDE BANDERA,100.00,4.87,3040
R:0123950,072067151834,PEGAMENTO LAPIZ ADHESIVO DIXON 08 GRS,90.00,8.25,0
R:0123950,7501214979432,GRAPA DELTA STANDAR C/5000 1010GDE,20.00,21.78,0
R:0123950,PGRI,GRAPA JUMBO STANDAR 26/6 C/5000,20.00,11.76,0
R:0123950,PL006,PLASTILINA BACO BARRA 180 GRS ROJO,40.00,7.17,0
R:0123950,PL045,PLASTILINA BACO BARRA 180 GRS AZUL CIELO,40.00,7.17,0
R:0123950,PL008,PLASTILINA BACO BARRA 180 GRS AZUL OBSCU,40.00,7.17,0
R:0123950,7501214986263,CORRECTOR BARRILITO LIQ TIP PL 10ML DUAL,24.00,16.41,0
R:0123950,7501058277176,BOLIGRAFO CRAYOLA ALTERNATIVE GEL .7 AZU,24.00,8.63,0
R:0123950,44121701,BOLIGRAFO CRAYOLA ALTERNATIVE GEL .7 NEG,24.00,8.63,0
R:0123950,7501058277183,BOLIGRAFO CRAYOLA ALTERNATIVE GEL .7 ROJ,24.00,8.63,0
R:0123950,7501058277190,BOLIGRAFO CRAYOLA ALTERNATIVE GEL .7 VER,24.00,8.63,0
R:01239111,7501214908368,BROCHETA DE BAMBU BARRILITO 24.5X3 CM,24.00,20.94,0
R:01239111,MASHFA,MARCADOR PERMANENTE SHARPIE FINO AZUL,24.00,14.20,2
R:01239111,MASHFR,MARCADOR PERMANENTE SHARPIE FINO ROJO,24.00,14.20,2
R:01239111,MASHFV,MARCADOR PERMANENTE SHARPIE FINO VERDE,12.00,40.78,4
R:01239111,7501987560059,PEGAMENTO SILICON LIQUIDO PASCUA 250 ML,12.00,0.49,0
R:01239111,DIBHO0004AI,PAPEL BRIGHTS CARTA ARCOIRIS INTEN 10 CO,1200.00,65.66,0
R:01239111,7501214970316,PISTOLA P/SILICON BARRILITO GG7031,15.00,1.57,0
R:01239111,PU0036,FOLDER MULTICOLOR CARTA CREMA,1000.00,17.48,0
R:01239111,7501214969068,CUTTER GRANDE BARRILITO MOD T391,12.00,9.30,0
R:01239111,PCOR1,CORRECTOR JUMBO LIQUIDO 5 ML,36.00,12.46,1
